State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Total","Total","TOTAL","Monthly","Marianas Northern","Mar-2014",206.931,
"Total","Total","TOTAL","Monthly","Marianas Northern","Apr-2014",56.469,
"Total","Total","TOTAL","Monthly","Marianas Northern","May-2014",194.11,
"Total","Total","TOTAL","Monthly","Nicaragua","Aug-2013",15.035,
"Total","Total","TOTAL","Monthly","Nicaragua","Sep-2013",10.978,
"Total","Total","TOTAL","Monthly","Nicaragua","Oct-2013",13.463,
"Total","Total","TOTAL","Monthly","Nicaragua","Nov-2013",5.877,
"Total","Total","TOTAL","Monthly","Nicaragua","Dec-2013",24.278,
"Total","Total","TOTAL","Monthly","Nicaragua","Feb-2014",42.755,
"Total","Total","TOTAL","Monthly","Nicaragua","Apr-2014",23.075,
"Total","Total","TOTAL","Monthly","Nicaragua","May-2014",5.58,
"Total","Total","TOTAL","Monthly","Norfolk Island","Aug-2013",609.473,
"Total","Total","TOTAL","Monthly","Norfolk Island","Sep-2013",256.371,
"Total","Total","TOTAL","Monthly","Norfolk Island","Oct-2013",706.977,
"Total","Total","TOTAL","Monthly","Norfolk Island","Nov-2013",1027.047,
"Total","Total","TOTAL","Monthly","Norfolk Island","Dec-2013",497.752,
"Total","Total","TOTAL","Monthly","Norfolk Island","Jan-2014",371.259,
"Total","Total","TOTAL","Monthly","Norfolk Island","Feb-2014",517.933,
"Total","Total","TOTAL","Monthly","Norfolk Island","Mar-2014",636.141,
"Total","Total","TOTAL","Monthly","Norfolk Island","Apr-2014",343.883,
"Total","Total","TOTAL","Monthly","Norfolk Island","May-2014",458.126,
"Total","Total","TOTAL","Monthly","Norway","Aug-2013",6989.68,
"Total","Total","TOTAL","Monthly","Norway","Sep-2013",6826.062,
"Total","Total","TOTAL","Monthly","Norway","Oct-2013",6729.779,
"Total","Total","TOTAL","Monthly","Norway","Nov-2013",7705.439,
"Total","Total","TOTAL","Monthly","Norway","Dec-2013",22494.14,
"Total","Total","TOTAL","Monthly","Norway","Jan-2014",3763.084,
"Total","Total","TOTAL","Monthly","Norway","Feb-2014",6579.963,
"Total","Total","TOTAL","Monthly","Norway","Mar-2014",25759.601,
"Total","Total","TOTAL","Monthly","Norway","Apr-2014",4926.671,
"Total","Total","TOTAL","Monthly","Norway","May-2014",4483.964,
"Total","Total","TOTAL","Monthly","Oman","Aug-2013",45320.797,
"Total","Total","TOTAL","Monthly","Oman","Sep-2013",27425.905,
"Total","Total","TOTAL","Monthly","Oman","Oct-2013",32156.834,
"Total","Total","TOTAL","Monthly","Oman","Nov-2013",30607.196,
"Total","Total","TOTAL","Monthly","Oman","Dec-2013",44682.688,
"Total","Total","TOTAL","Monthly","Oman","Jan-2014",32900.82,
"Total","Total","TOTAL","Monthly","Oman","Feb-2014",28372.388,
"Total","Total","TOTAL","Monthly","Oman","Mar-2014",18629.615,
"Total","Total","TOTAL","Monthly","Oman","Apr-2014",21927.585,
"Total","Total","TOTAL","Monthly","Oman","May-2014",44955.796,
"Total","Total","TOTAL","Monthly","Pakistan","Aug-2013",45466.047,
"Total","Total","TOTAL","Monthly","Pakistan","Sep-2013",31864.661,
"Total","Total","TOTAL","Monthly","Pakistan","Oct-2013",21383.798,
"Total","Total","TOTAL","Monthly","Pakistan","Nov-2013",20643.186,
"Total","Total","TOTAL","Monthly","Pakistan","Dec-2013",21087.377,
"Total","Total","TOTAL","Monthly","Pakistan","Jan-2014",50285.274,
"Total","Total","TOTAL","Monthly","Pakistan","Feb-2014",31247.396,
"Total","Total","TOTAL","Monthly","Pakistan","Mar-2014",63068.259,
"Total","Total","TOTAL","Monthly","Pakistan","Apr-2014",10958.714,
"Total","Total","TOTAL","Monthly","Pakistan","May-2014",47176.262,
"Total","Total","TOTAL","Monthly","Peru","Aug-2013",4056.302,
"Total","Total","TOTAL","Monthly","Peru","Sep-2013",4286.028,
"Total","Total","TOTAL","Monthly","Peru","Oct-2013",4019.482,
"Total","Total","TOTAL","Monthly","Peru","Nov-2013",4546.85,
"Total","Total","TOTAL","Monthly","Peru","Dec-2013",7719.382,
"Total","Total","TOTAL","Monthly","Peru","Jan-2014",955.689,
"Total","Total","TOTAL","Monthly","Peru","Feb-2014",3829.187,
"Total","Total","TOTAL","Monthly","Peru","Mar-2014",7747.42,
"Total","Total","TOTAL","Monthly","Peru","Apr-2014",6759.824,
"Total","Total","TOTAL","Monthly","Peru","May-2014",7629.09,
"Total","Total","TOTAL","Monthly","Paraguay","Aug-2013",79.754,
"Total","Total","TOTAL","Monthly","Paraguay","Sep-2013",546.156,
"Total","Total","TOTAL","Monthly","Paraguay","Oct-2013",51.758,
"Total","Total","TOTAL","Monthly","Paraguay","Nov-2013",30.919,
"Total","Total","TOTAL","Monthly","Paraguay","Dec-2013",29.326,
"Total","Total","TOTAL","Monthly","Paraguay","Jan-2014",97.813,
"Total","Total","TOTAL","Monthly","Paraguay","Feb-2014",34.749,
"Total","Total","TOTAL","Monthly","Paraguay","Mar-2014",33.666,
"Total","Total","TOTAL","Monthly","Paraguay","Apr-2014",22.872,
"Total","Total","TOTAL","Monthly","Paraguay","May-2014",23.879,
"Total","Total","TOTAL","Monthly","Samoa (American)","Aug-2013",458.161,
"Total","Total","TOTAL","Monthly","Samoa (American)","Sep-2013",483.227,
"Total","Total","TOTAL","Monthly","Samoa (American)","Oct-2013",416.414,
